"sentence"	"wordid"
"Smith uses his name as a base for building <abstract> imagery."	"abstract_adj-nou"
"The Group intended to promote Welsh radical and <abstract> modern art (and successfully did so into the 21st century)."	"abstract_adj-nou"
"Both stances are verbalized with the same <abstract> vocabulary."	"abstract_adj-nou"
"In later years he became less prolific, and unsuccessfully attempted to establish himself as an <abstract> artist."	"abstract_adj-nou"
"As a sculptor, Ruud Kuijer became famous for his <abstract> sculptures in which he often incorporated recognisable shapes."	"abstract_adj-nou"
"JFC consists of the <Abstract> Window Toolkit (AWT), Swing and Java 2D."	"abstract_adj-nou"
"The theory on optical transfer functions presented in section 4 is somewhat <abstract>."	"abstract_adj-nou"
"Indeterminates are useful in <abstract> algebra for generating mathematical structures."	"abstract_adj-nou"
"The melody of his compositions often seem <abstract>, similar to Canadian visual art from his early years."	"abstract_adj-nou"
"The ""<Abstract> factory pattern"" instead is a method to build collections of factories."	"abstract_adj-nou"
"EFSA later modified the <abstract> to correct this error, though the press release remains unchanged."	"abstract_adj-nou"
"Later in his life his art frequently also included <abstract> painting."	"abstract_adj-nou"
"The idea of HNN extension has been extended to other parts of <abstract> algebra, including Lie algebra theory."	"abstract_adj-nou"
"The i-stems descended from PIE nouns in -is, many of which were feminine <abstract> nouns in -tis."	"abstract_adj-nou"
"Roman numerals thus <abstract> chord progressions, making them independent of the key, so can easily be transposed."	"abstract_adj-nou"
"In Paris during the 1920s, Moffat collaborated with Man Ray, producing portraits and <abstract> photograms or ""rayographs""."	"abstract_adj-nou"
"Rather, Siddhartha's insights into old age, sickness and death were <abstract> considerations."	"abstract_adj-nou"
"Jarmo is a two-player <abstract> strategy board game."	"abstract_adj-nou"
"Whitehead's lemma is a technical result in <abstract> algebra used in algebraic K-theory."	"abstract_adj-nou"
"Il Lee is best known for his ballpoint pen artwork; large-scale <abstract> imagery on paper and canvas."	"abstract_adj-nou"
"The environments were <abstract>, with simple gameplay focused on hopping from trampoline-like platforms."	"abstract_adj-nou"
"Tumarkin's sculpture still dealt with it, but began to express it in a variety of more <abstract> ways."	"abstract_adj-nou"
"Indeed, there exist <abstract> ovals which can not lie in any projective plane."	"abstract_adj-nou"
"Quantum tic-tac-toe became the most thoroughly studied <abstract> quantum system and offered insights that spawned new research."	"abstract_adj-nou"
"Ming Mang is a two-player <abstract> strategy board game from Tibet."	"abstract_adj-nou"
"Self-awareness appears to be a sign of <abstract> thinking."	"abstract_adj-nou"
"His works have been shown in solo and group shows featuring a range from <abstract> impressionism to pop art."	"abstract_adj-nou"
"By this time his work had become totally <abstract> and he was focusing on ideas and systems."	"abstract_adj-nou"
"In 1926, she created Etude-Bach, her first <abstract> ballet."	"abstract_adj-nou"
"Moreover, different <abstract> machines define different primitive operations, which are operations that can be performed in constant time."	"abstract_adj-nou"
